HGNC_symbol,HGNC_ID,Ensembl_ID,Ensembl_ID_status,Name_hgnc,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,DBD_lambert,TF_assessment_lambert,InLambert,GO_TF_biomart,InGO_TF,JASPAR_matrix_ids,InJASPAR,Mouse_Symbol,Ensembl_Mouse
AR,HGNC:644,ENSG00000169083,confirmed,androgen receptor,Nuclear receptor subfamily 3 group C,2076,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0005634;GO:0005496;GO:0003700;GO:0043565;GO:0004879;GO:0030521;GO:0005515;GO:0005737;GO:0005102;GO:0019899;GO:0008285;GO:0005829;GO:0046872;GO:0005654;GO:0008289;GO:0045893;GO:0045944;GO:0010628;GO:1990837;GO:0000976;GO:0033574;GO:0045597;GO:0003682;GO:0000981;GO:0000785;GO:0003707;GO:0000978;GO:0007283;GO:0001228;GO:0008284;GO:0032991;GO:0007165;GO:0007267;GO:0061629;GO:1902895;GO:0000977;GO:0008013;GO:0060090;GO:0008584;GO:0140693;GO:0034056;GO:0000122;GO:0051117;GO:2001237;GO:0001223;GO:0000165;GO:0006366;GO:0030520;GO:0048009;GO:0050673;GO:1903076;GO:0001701;GO:0003073;GO:0003382;GO:0006357;GO:0007338;GO:0009566;GO:0010467;GO:0010468;GO:0019102;GO:0033148;GO:0033327;GO:0035264;GO:0043410;GO:0043568;GO:0048608;GO:0048638;GO:0048645;GO:0048808;GO:0050680;GO:0060514;GO:0060571;GO:0060599;GO:0060685;GO:0060736;GO:0060740;GO:0060742;GO:0060748;GO:0060749;GO:0060769;GO:0061458;GO:0072520;GO:0000979;GO:0001091;GO:0005497;GO:0070974;GO:0030522;GO:0045726;GO:0045945;GO:0071383;GO:0071391;GO:0071394;GO:0140694;GO:0005886;GO:0016607;GO:0030518;GO:1901654,Y,MA0007.2,Y,,
ARGFX,,ENSG00000186103,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0000978;GO:0006357;GO:0000785;GO:1990837,Y,MA1463.1;MA1463.2,Y,,
ARHGAP35,,ENSG00000160007,lambert,,Lambert TF Census (not in HGNC groups),,,,Unknown,Likely to be sequence specific TF,Y,,N,,N,,
ARID2,,ENSG00000189079,lambert,,Lambert TF Census (not in HGNC groups),,,,ARID/BRIGHT; RFX,Likely to be sequence specific TF,Y,,N,,N,,
ARID3A,,ENSG00000116017,lambert,,Lambert TF Census (not in HGNC groups),,,,ARID/BRIGHT,Known motif,Y,,N,,N,,
ARID3B,,ENSG00000179361,lambert,,Lambert TF Census (not in HGNC groups),,,,ARID/BRIGHT,Inferred motif,Y,,N,,N,,
ARID3C,,ENSG00000205143,confirmed,,Lambert TF Census (not in HGNC groups),,,,ARID/BRIGHT,Inferred motif,Y,GO:0003677;GO:0006357;GO:0005634;GO:0005515;GO:0000981;GO:0045944;GO:0003682;GO:0030225;GO:0005737;GO:0045121,Y,,N,,
ARID5A,,ENSG00000196843,lambert,,Lambert TF Census (not in HGNC groups),,,,ARID/BRIGHT,Known motif,Y,,N,,N,,
ARID5B,,ENSG00000150347,lambert,,Lambert TF Census (not in HGNC groups),,,,ARID/BRIGHT,Known motif,Y,,N,,N,,
ARNT,HGNC:700,ENSG00000143437,confirmed,aryl hydrocarbon receptor nuclear translocator,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0006355;GO:0005634;GO:0005737;GO:0003700;GO:0005667;GO:0046983;GO:0005654;GO:0003677;GO:0005515;GO:0016604;GO:0001666;GO:0030522;GO:0042803;GO:0045944;GO:0000978;GO:0006357;GO:0046982;GO:1990837;GO:0004879;GO:0050728;GO:0000981;GO:0000785;GO:0001938;GO:0061629;GO:0017162;GO:0034751;GO:0090575;GO:0043565;GO:0060729;GO:0034599;GO:0010575;GO:0045821;GO:0030949;GO:0045648;GO:0001892;GO:0030154;GO:0045893;GO:0000987;GO:0033235;GO:0046886;GO:0034753,Y,MA0259.1;MA0259.2,Y,,
ARNT2,HGNC:16876,ENSG00000172379,confirmed,aryl hydrocarbon receptor nuclear translocator 2,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0006355;GO:0005634;GO:0005737;GO:0003700;GO:0005667;GO:0046983;GO:0005654;GO:0003677;GO:0005515;GO:0001666;GO:0000981;GO:0007420;GO:0045893;GO:0045944;GO:0000978;GO:0006357;GO:0046982;GO:0001701;GO:0007417;GO:0000785;GO:1990837;GO:0034751;GO:0001228;GO:0017162;GO:0044877;GO:0008284;GO:0032355;GO:0043066,Y,MA1464.1;MA1464.2,Y,,
ARNTL,,ENSG00000133794,lambert,,Lambert TF Census (not in HGNC groups),,,,bHLH,Known motif,Y,,N,,N,,
ARNTL2,,ENSG00000029153,lambert,,Lambert TF Census (not in HGNC groups),,,,bHLH,Inferred motif,Y,,N,,N,,
ARX,,ENSG00000004848,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0007399;GO:0005515;GO:0030154;GO:0000122;GO:0000978;GO:0001228;GO:0045944;GO:0001227;GO:0006357;GO:1990837;GO:0000977;GO:0000785;GO:0048666;GO:0035265;GO:0001764;GO:0007411;GO:0010628;GO:0021759;GO:0021772;GO:0021800;GO:0021831;GO:0021846;GO:0021853;GO:0030900;GO:0044241;GO:0046622;GO:0048663;GO:0050678;GO:0072148;GO:1904936;GO:0003682,Y,,N,,
ASCL1,HGNC:738,ENSG00000139352,confirmed,achaete-scute family bHLH transcription factor 1,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0003700;GO:0006357;GO:0046983;GO:0005634;GO:0007399;GO:0003677;GO:0005515;GO:0043066;GO:0010468;GO:0030154;GO:0007219;GO:0045944;GO:0000981;GO:0045892;GO:0030182;GO:0070888;GO:0045665;GO:0000977;GO:0000785;GO:0048666;GO:0000978;GO:0001227;GO:1990837;GO:0000122;GO:0090575;GO:0050767;GO:0032526;GO:0022008;GO:0048665;GO:0007423;GO:0043425;GO:0003676;GO:0048485;GO:0045666;GO:0048663;GO:0061549;GO:0061351;GO:0007346;GO:0007389;GO:0007400;GO:0007405;GO:0008593;GO:0014003;GO:0021527;GO:0021529;GO:0021530;GO:0021750;GO:0021779;GO:0021902;GO:0021954;GO:0021987;GO:0030856;GO:0042127;GO:0043525;GO:0045747;GO:0045787;GO:0048469;GO:0048699;GO:0048709;GO:0048935;GO:0050769;GO:0050883;GO:0060163;GO:0060165;GO:0060166;GO:0061100;GO:0061101;GO:0061102;GO:0061103;GO:0061104;GO:0097154;GO:0097475;GO:2000179;GO:0003682;GO:0003690;GO:0042802;GO:0043565;GO:0003358;GO:0003359;GO:0007507;GO:0021879;GO:0021892;GO:0051593;GO:0060487;GO:0060579;GO:0070849;GO:0071259;GO:0043025,Y,MA1100.1;MA1100.2;MA1631.1;MA1100.3;MA1631.2,Y,,
ASCL2,HGNC:739,ENSG00000183734,confirmed,achaete-scute family bHLH transcription factor 2,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0003700;GO:0006357;GO:0046983;GO:0005634;GO:0005737;GO:0007399;GO:0003677;GO:0001666;GO:0030154;GO:0000122;GO:0000981;GO:0070888;GO:0000977;GO:0000785;GO:0000978;GO:0001227;GO:1990837;GO:0001890;GO:0090575;GO:0045944;GO:0050767;GO:0030182;GO:0007423;GO:0001701;GO:0030217;GO:0035019;GO:0001228;GO:0043425;GO:0043565;GO:0010626;GO:0019827;GO:0045626;GO:0045629;GO:0060712;GO:0060719;GO:0061470;GO:2000320;GO:2000406,Y,,N,,
ASCL3,HGNC:740,ENSG00000176009,confirmed,achaete-scute family bHLH transcription factor 3,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,GO:0046983;GO:0005634;GO:0003677;GO:0005515;GO:0000981;GO:0001227;GO:0048513;GO:0000977;GO:0006357;GO:0005667;GO:0000785;GO:0060429;GO:0090575;GO:0045944;GO:0000122;GO:0001894;GO:0007431;GO:0070654,Y,,N,,
ASCL4,HGNC:24311,ENSG00000187855,confirmed,achaete-scute family bHLH transcription factor 4,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,GO:0046983;GO:0005634;GO:0003677;GO:0005515;GO:0000981;GO:0001227;GO:0000122;GO:0006357;GO:0048513;GO:0000977;GO:0005667;GO:0000785;GO:0060429;GO:0090575;GO:0043588,Y,,N,,
ASCL5,HGNC:33169,ENSG00000232237,lambert,achaete-scute family bHLH transcription factor 5,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,,N,,N,,
ASH1L,,ENSG00000116539,lambert,,Lambert TF Census (not in HGNC groups),,,,AT hook,Likely to be sequence specific TF,Y,,N,,N,,
ATF1,HGNC:783,ENSG00000123268,confirmed,activating transcription factor 1,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0005515;GO:0003700;GO:0005654;GO:0042802;GO:0000978;GO:0000981;GO:0006357;GO:0000785;GO:0001228;GO:0045944;GO:0090575;GO:0000977;GO:0014074;GO:0141156;GO:1990589;GO:0043565;GO:0044877;GO:0010976;GO:0032025;GO:0045740;GO:0065003;GO:0005667;GO:1990590,Y,,N,,
ATF2,HGNC:784,ENSG00000115966,confirmed,activating transcription factor 2,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0010628;GO:0005634;GO:0005737;GO:0016020;GO:0005654;GO:0046872;GO:0005739;GO:0005741;GO:0003677;GO:0005515;GO:0008270;GO:0006355;GO:0003700;GO:0006974;GO:0042802;GO:0000981;GO:0006357;GO:0019901;GO:0000785;GO:0000987;GO:1990837;GO:0000978;GO:0001228;GO:0035861;GO:0045944;GO:0000122;GO:0090575;GO:0061629;GO:0000977;GO:0006970;GO:0110024;GO:0016525;GO:0031573;GO:0018107;GO:0051091;GO:0035497;GO:0004402;GO:0008140;GO:0010485;GO:0044013;GO:1990841;GO:0045815;GO:1902110;GO:1990253;GO:1902562;GO:0001659;GO:0003151;GO:0032915;GO:0060612;GO:0070342;GO:0097009;GO:0003682;GO:0042803;GO:0043522;GO:0043565;GO:0046982;GO:0000165;GO:0001701;GO:0001865;GO:0001889;GO:0002244;GO:0003360;GO:0003418;GO:0003419;GO:0006606;GO:0006629;GO:0006915;GO:0007033;GO:0007254;GO:0007507;GO:0010467;GO:0021742;GO:0021743;GO:0021754;GO:0030509;GO:0034599;GO:0038066;GO:0042789;GO:0050872;GO:0060052;GO:0060245;GO:0072740;GO:0097049;GO:0097284;GO:0098586;GO:1902742;GO:1990144,Y,MA1632.1;MA1632.2,Y,,
ATF3,HGNC:785,ENSG00000162772,confirmed,activating transcription factor 3,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0006357;GO:0005634;GO:0005654;GO:0005794;GO:0005515;GO:0016604;GO:0005813;GO:0036064;GO:0005730;GO:0042802;GO:0000978;GO:0000981;GO:1990837;GO:0000785;GO:0001227;GO:0001228;GO:0045944;GO:0000122;GO:0090575;GO:0042803;GO:0046982;GO:0000977;GO:0034976;GO:0000976;GO:1903984;GO:1990622;GO:0006094;GO:0007179;GO:0034341;GO:0035914;GO:0045892;GO:0008284;GO:0010628;GO:0030968;GO:0034198;GO:0070373,Y,MA0605.2;MA0605.3,Y,,
ATF4,HGNC:786,ENSG00000128272,confirmed,activating transcription factor 4,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0006355;GO:0003700;GO:0005634;GO:0005737;GO:0016607;GO:0005886;GO:0016020;GO:0005654;GO:0048511;GO:0005856;GO:0003677;GO:0005515;GO:0042789;GO:0034599;GO:0006094;GO:0045893;GO:0005813;GO:0042981;GO:0000122;GO:0034198;GO:0000978;GO:0045944;GO:0032991;GO:0042802;GO:0006357;GO:0046982;GO:0048167;GO:0019901;GO:0034644;GO:0005739;GO:0006366;GO:0070059;GO:0032922;GO:0000977;GO:0000981;GO:0000785;GO:0034976;GO:0031667;GO:0001228;GO:0030968;GO:0035162;GO:1990837;GO:0005829;GO:0030282;GO:0097250;GO:0045667;GO:0070309;GO:0010628;GO:0120163;GO:0090575;GO:0043005;GO:0043065;GO:0061629;GO:0043525;GO:0140467;GO:0008140;GO:1903377;GO:0036499;GO:0140468;GO:0032057;GO:0000976;GO:0160144;GO:1990841;GO:1990253;GO:1990589;GO:1990590;GO:0043522;GO:0043565;GO:0010575;GO:0042149;GO:0045943;GO:0070982;GO:0034399;GO:1990037;GO:1990617;GO:0006874;GO:0070169;GO:1905461;GO:2000120;GO:0140296;GO:0140297;GO:0007214;GO:0007623;GO:0009636;GO:0030182;GO:0043267;GO:0071456;GO:1990737;GO:0032590;GO:0005667,Y,MA0833.1;MA0833.2;MA0833.3,Y,,
ATF5,HGNC:790,ENSG00000169136,confirmed,activating transcription factor 5,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0006355;GO:0003700;GO:0005634;GO:0005737;GO:0008285;GO:0005829;GO:0005654;GO:0005856;GO:0003677;GO:0005515;GO:0043066;GO:0045893;GO:0005813;GO:0042981;GO:0043565;GO:0006357;GO:0045892;GO:0000976;GO:0019900;GO:0003682;GO:0000977;GO:0000981;GO:0000785;GO:0001228;GO:0045444;GO:0045944;GO:0015631;GO:0090575;GO:0046605;GO:1902750;GO:0021930;GO:0009791;GO:0010468;GO:0021889;GO:0021891;GO:0021988;GO:0035264;GO:0007623;GO:0005667,Y,,N,,
ATF6,HGNC:791,ENSG00000118217,confirmed,activating transcription factor 6,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0005634;GO:0016020;GO:0005794;GO:0003677;GO:0005515;GO:0005783;GO:0005789;GO:0006355;GO:0003700;GO:0000139;GO:0042802;GO:0000978;GO:0000981;GO:0006357;GO:0007601;GO:0000977;GO:0006986;GO:0000785;GO:0036500;GO:1903891;GO:0005654;GO:1990837;GO:0005829;GO:0001654;GO:0001228;GO:0043565;GO:0045944;GO:0005635;GO:0007165;GO:0090575;GO:0046982;GO:0043065;GO:0006457;GO:0034976;GO:0019899;GO:0036503;GO:0030968;GO:0000976;GO:0010508;GO:1903893,Y,MA1466.1;MA1466.2,Y,,
ATF6B,HGNC:2349,ENSG00000213676,lambert,activating transcription factor 6 beta,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0006355;GO:0003700;GO:0005634;GO:0016020;GO:0005654;GO:0003677;GO:0005515;GO:0005783;GO:0005789;GO:0005730;GO:0000981;GO:0006357;GO:0006986;GO:0000785;GO:0036500;GO:1903891;GO:0000978;GO:1990837;GO:0005829;GO:0001228;GO:0045944;GO:0007165;GO:0000139;GO:0090575;GO:0005794;GO:0034976;GO:0030968;GO:0000976;GO:0032993;GO:1903892,Y,,N,,
ATF7,HGNC:792,ENSG00000170653,confirmed,activating transcription factor 7,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0006355;GO:0003700;GO:0005634;GO:0005737;GO:0019899;GO:0046872;GO:0003677;GO:0005515;GO:0008270;GO:0005694;GO:0005654;GO:0045944;GO:0000981;GO:0006357;GO:0000781;GO:0000976;GO:0000785;GO:0001223;GO:1990837;GO:0090575;GO:0051019;GO:0035497,Y,MA0834.1;MA0834.2,Y,,
ATF7-NPFF,,ENSG00000267281,biomart,,BioMart GO:0003700 (not in HGNC groups),,,,,,,GO:0006355;GO:0003700;GO:0005634;GO:0003677;GO:0008270,Y,,N,,
ATMIN,,ENSG00000166454,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,GO:0000976;GO:0045944;GO:0005634;GO:0046872;GO:0005515;GO:0008270;GO:0016604;GO:0006974;GO:0045893;GO:0000981;GO:0006357;GO:0070840;GO:0001228;GO:0010628;GO:0044458;GO:1902857,Y,,N,,
ATOH1,HGNC:797,ENSG00000172238,confirmed,atonal bHLH transcription factor 1,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0046983;GO:0005634;GO:0007399;GO:0003677;GO:0030154;GO:0000981;GO:1990837;GO:0048731;GO:0000785;GO:0045944;GO:0048663;GO:0007417;GO:0006366;GO:0003700;GO:0070888;GO:0007423;GO:0061564;GO:0045666;GO:1904019;GO:0001764;GO:0007219;GO:0007411;GO:0007420;GO:0021953;GO:0021987;GO:0042472;GO:0042491;GO:0042667;GO:0042668;GO:0045609;GO:0045664;GO:0048839;GO:0097402;GO:1904036;GO:0000978;GO:0001228;GO:0031490;GO:0043565;GO:0014014;GO:2000982,Y,MA1467.1,Y,,
ATOH7,HGNC:13907,ENSG00000179774,confirmed,atonal bHLH transcription factor 7,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0006355;GO:0046983;GO:0003407;GO:0005634;GO:0007399;GO:0042995;GO:0005829;GO:0005654;GO:0003677;GO:0005515;GO:0030154;GO:0030424;GO:0045944;GO:0000981;GO:0043204;GO:1990837;GO:0000976;GO:0048731;GO:0006357;GO:0000785;GO:0048663;GO:0007623;GO:0009649;GO:0010996;GO:0043153;GO:1902336;GO:0070888;GO:0007423;GO:0061564;GO:0021554,Y,MA1468.1,Y,,
ATOH8,HGNC:24126,ENSG00000168874,confirmed,atonal bHLH transcription factor 8,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,GO:0003700;GO:0046983;GO:0005634;GO:0005737;GO:0016607;GO:0007399;GO:0005654;GO:0003677;GO:0005515;GO:0030154;GO:0048646;GO:0045893;GO:0045892;GO:1990837;GO:0060391;GO:0070888;GO:0000981;GO:0000785;GO:0009653;GO:0010595;GO:0001704;GO:0045944;GO:0001937;GO:0035148;GO:1902895;GO:0010629;GO:0045603;GO:0140297;GO:0051450,Y,,N,,
BACH1,HGNC:935,ENSG00000156273,confirmed,BACH transcriptional regulator 1,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0003677;GO:0006355;GO:0005515;GO:0003700;GO:0005634;GO:0005737;GO:0005829;GO:0000122;GO:0000978;GO:0000981;GO:0001227;GO:0006357;GO:0020037;GO:0000785;GO:0005654;GO:0090575;GO:0001228;GO:0098531;GO:0006281;GO:0045944;GO:0010468,Y,MA1633.1;MA1633.2,Y,,
BACH2,HGNC:14078,ENSG00000112182,confirmed,BACH transcriptional regulator 2,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0003677;GO:0006355;GO:0005515;GO:0003700;GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0000978;GO:0000981;GO:0006357;GO:0000785;GO:1990837;GO:0000122;GO:0090575;GO:0051170;GO:0001227;GO:0090721,Y,MA1101.1;MA1101.2;MA1470.1;MA1101.3;MA1470.2,Y,,
BARHL1,,ENSG00000125492,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0006357;GO:0000977;GO:0000785;GO:1990837;GO:0051402;GO:1905584;GO:0001764;GO:0007605;GO:0030901;GO:0043524;GO:0045944;GO:1905586;GO:0001228,Y,MA0877.2;MA0877.3;MA0877.4,Y,,
BARHL2,,ENSG00000143032,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005515;GO:0006357;GO:0000977;GO:0000785;GO:1990837;GO:0001709;GO:0001764;GO:0030182;GO:0030516;GO:0035881;GO:0045165;GO:0045727;GO:0045944;GO:0001228;GO:0003700;GO:0007399,Y,MA0635.1;MA0635.2,Y,,
BARX1,,ENSG00000131668,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0006357;GO:0003700;GO:0000977;GO:0000785;GO:0016055;GO:0007267;GO:0009888;GO:0009952;GO:0030178;GO:0045446;GO:0048513;GO:0048536;GO:0055123,Y,MA0875.1;MA0875.2,Y,,
BARX2,,ENSG00000043039,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005829;GO:0005654;GO:0005794;GO:0005515;GO:0015629;GO:0006357;GO:0000977;GO:0000785;GO:1990837;GO:0001228;GO:0045944;GO:0006366;GO:0000122;GO:0001502;GO:0014902;GO:0035914;GO:0003682;GO:0003700;GO:0043565;GO:0005667,Y,MA1471.1;MA1471.2,Y,,
